province,address,price,Construction Type,New Construction,Elevator,Floors in the Building,Floor Area,Number of Rooms,Number of Bathrooms,Ceiling Height,Floor,Balcony,Furniture,Renovation
Kentron,"Երվանդ Քոչարի փողոց, Երևան","$120,000",Monolith,No,Available,10,46,1,1,from 2.75 m,5,Closed balcony,Not available,Old Renovation
Nor Nork,"Lvovyan street, Yerevan","$230,000",Monolith,Yes,Available,16,98,3,2,from 3 m,12,Open balcony,Available,Major Renovation
Kentron,"Mesrop Mashtots Avenue, Yerevan","$450,000",Stone,No,Not available,4,190,3,1,from 3.5 m,4,Closed balcony,Available,Major Renovation
Ajapnyak,"Նորաշեն թաղամաս, Երևան","$90,000",Panels,No,Available,16,93,4,1,from 2.75 m,12,Closed balcony,Not available,Old Renovation
Arabkir,"Mamikonyants street 25, Yerevan","$230,000",Stone,No,Not available,5,73,3,1,from 3.2 m,5,Open balcony,Available,Major Renovation
Kentron,"Koryun street, Yerevan","$250,000",Monolith,Yes,Available,9,92,3,2,from 2.8 m,7,Closed balcony,Available,Major Renovation
Kentron,"Տիգրան Մեծի պողոտա 27Ա, Երևան","$159,900",Stone,No,Not available,5,52,2,1,from 3.2 m,2,Not available,Available,Designer Renovation
Kentron,"Yervand Kochar street, Yerevan","$150,000",Panels,No,Available,9,80,3,1,from 2.8 m,8,Closed balcony,Not available,Old Renovation
Kentron,"Northern Avenue, Yerevan","$1,300,000",Monolith,Yes,Available,7,208,4,2,from 3 m,2,Open balcony,Available,Major Renovation
Ajapnyak,"Մարգարյան փողոցի 1-ին նրբանցք, Երևան","$75,000",Stone,No,Not available,4,58,2,1,from 2.5 m,3,Closed balcony,Not available,Old Renovation
Arabkir,"Նիկողայոս Տիգրանյան փակուղի 8, Երևան","$170,000",Monolith,Yes,Available,12,59,2,1,from 2.8 m,10,Open balcony,Available,Designer Renovation
Nor Nork,"Aksel Bakunts street, Yerevan","$52,000",Panels,No,Not available,5,30,1,1,from 2.6 m,4,Not available,Not available,Designer Renovation
Kentron,"Mesrop Mashtots Avenue, Yerevan","$350,000",Stone,No,Not available,4,146,3,2,from 3.2 m,4,Open balcony,Available,Euro Renovation
Shengavit,"Arshakuniats Avenue, Yerevan","$113,000",Panels,No,Available,10,72,2,1,from 2.7 m,7,Closed balcony,By agreement,Major Renovation
Kanaker-Zeytun,"Dro street, Yerevan","$82,000",Panels,No,Available,9,46,2,1,from 2.8 m,3,Not available,Available,Major Renovation
Ajapnyak,"Լենինգրադյան փողոց, Երևան","$110,000",Monolith,Yes,Available,14,53,2,1,from 3 m,4,Open balcony,Not available,No Renovation
Kentron,"Charents street, Yerevan","$650,000",Monolith,Yes,Available,10,262,5,3+,from 3 m,3,Open balcony,Available,Major Renovation
Avan,"Hovhanisyan block, Yerevan","$127,000",Panels,No,Available,9,64,3,1,from 2.75 m,7,Closed balcony,Available,Euro Renovation
Arabkir,"Komitas Avenue, Yerevan","$164,000",Stone,No,Not available,4,68,2,1,from 3.5 m,4,Closed balcony,Partial Furniture,Cosmetic Renovation
Avan,"Hrachya Acharyan Street, Yerevan","$75,000",Monolith,Yes,Not available,4,40,2,1,from 3 m,2,Not available,Not available,No Renovation
Nor Nork,"Galshoyan street, Yerevan","$77,000",Panels,No,Not available,5,64,2,1,from 2.75 m,4,Closed balcony,By agreement,Major Renovation
Kentron,"Tumanyan street, Yerevan","$255,000",Stone,No,Not available,4,61,2,1,from 3.2 m,4,Open balcony,By agreement,Old Renovation
Avan,"Duryan street, Yerevan","$128,000",Panels,No,Available,9,83,4,1,from 2.75 m,5,Open balcony,Partial Furniture,Major Renovation
Avan,"Avan-Arinj 1st micro, Yerevan","$75,000",Panels,No,Available,14,45,2,1,from 2.75 m,14,Not available,Partial Furniture,Major Renovation
Nor Nork,"Բաղյան 2-րդ նրբանցք, Երևան","$83,000",Stone,No,Not available,5,58,2,1,from 2.75 m,1,Closed balcony,Not available,Major Renovation
Nor Nork,"Շոպրոնի փողոց, Երևան","$83,000",Stone,No,Not available,5,50,2,1,from 2.75 m,3,Open balcony,Partial Furniture,Major Renovation
Kanaker-Zeytun,"Karapet Ulnetsi Street, Yerevan","$192,000",Monolith,Yes,Available,15,64,2,1,from 3 m,12,Open balcony,Not available,Euro Renovation
Avan,"Duryan street, Yerevan","$102,000",Panels,No,Available,9,73,3,1,from 2.75 m,1,Not available,Not available,Euro Renovation
Davitashen,"Tigran Petrosyan street, Yerevan","$138,500",Panels,No,Available,9,67,3,1,from 2.75 m,1,Not available,Available,Euro Renovation
Nor Nork,"Լյուքսեմբուրգ փողոցի 1-ին նրբանցք, Երևան","$83,000",Panels,No,Not available,5,74,3,1,from 2.75 m,4,Closed balcony,Not available,Cosmetic Renovation
Kentron,"Երվանդ Քոչարի փողոց, Երևան","$120,000",Monolith,No,Available,10,46,1,1,from 2.75 m,5,Closed balcony,Not available,Old Renovation
Nor Nork,"Lvovyan street, Yerevan","$230,000",Monolith,Yes,Available,16,98,3,2,from 3 m,12,Open balcony,Available,Major Renovation
Kentron,"Mesrop Mashtots Avenue, Yerevan","$450,000",Stone,No,Not available,4,190,3,1,from 3.5 m,4,Closed balcony,Available,Major Renovation
Nor Nork,"Լվովյան փողոց 19, Երևան","$87,000",Stone,No,Not available,5,76,3,1,from 2.7 m,1,Closed balcony,Not available,Partial Renovation
Kentron,"Zakian street, Yerevan","$189,000",Stone,No,Not available,5,66,2,1,from 3.5 m,3,Open balcony,Partial Furniture,Old Renovation
Avan,"Avan-Arinj 1st micro, Yerevan","$65,000",Panels,No,Available,14,45,1,1,from 2.8 m,13,Not available,Available,Cosmetic Renovation
Nor Nork,"Ashot Hovhannisyan Street, Yerevan","$67,000",Panels,No,Available,9,45,1,1,from 2.75 m,3,Closed balcony,By agreement,Major Renovation
Nor Nork,"Minsk Street, Yerevan","$85,000",Panels,No,Available,9,85,3,1,from 2.8 m,1,Open balcony,By agreement,Major Renovation
Nor Nork,"Աշոտ Հովհաննիսյանի փողոց, Երևան","$110,000",Panels,No,Available,9,78,3,1,from 2.8 m,3,Closed balcony,Not available,Major Renovation
Kentron,"Վարդանանց փողոց, Երևան","$119,000",Panels,No,Available,10,43,1,1,from 2.7 m,5,Open balcony,Not available,Old Renovation
Nor Nork,"Լվովյան փողոց, Երևան","$64,000",Panels,No,Available,12,41,1,1,from 2.8 m,10,Closed balcony,Available,Euro Renovation
Nor Nork,"Galshoyan street, Yerevan","$62,000",Panels,No,Available,16,55,1,1,from 2.75 m,13,Closed balcony,Not available,No Renovation
Kentron,"Փավստոս Բուզանդի փողոց, Երևան","$320,000",Monolith,Yes,Available,10,81,2,1,from 3 m,4,Open balcony,By agreement,Major Renovation
Nor Nork,"Vilnyus street, Yerevan","$100,000",Panels,No,Available,9,85,4,1,from 2.8 m,5,Open balcony,By agreement,Major Renovation
Erebuni,"Sasuntsi Davit Street, Yerevan","$120,000",Panels,No,Available,10,91,3,2,from 2.8 m,2,Open balcony,Available,Cosmetic Renovation
Nor Nork,"Galshoyan street, Yerevan","$130,000",Monolith,No,Not available,5,75,3,1,from 2.75 m,3,Not available,Available,Major Renovation
Kentron,"Դերենիկ Դեմիրճյան փողոց, Երևան","$300,000",Monolith,Yes,Available,6,65,2,1,from 3 m,6,Not available,Partial Furniture,Major Renovation
Malatia-Sebastia,"Ohanov street, Yerevan","$82,000",Stone,No,Not available,5,67,2,1,from 2.75 m,2,Closed balcony,Not available,Cosmetic Renovation
Nor Nork,"Gyulikekhvyan street, Yerevan","27,500,000 ֏",Stone,No,Not available,5,48,1,1,from 2.8 m,4,Closed balcony,By agreement,Major Renovation
Ajapnyak,"Leningradyan street, Yerevan","$82,000",Stone,No,Not available,5,57,2,1,from 2.75 m,4,Open balcony,Not available,Partial Renovation
Kentron,"Ձորափի փողոց, Երևան","$420,000",Monolith,Yes,Available,14,131,4,2,from 3 m,8,Multiple balconies,Available,Designer Renovation
Nor Nork,"Գյուլիքեխվյան փողոց, Երևան","$67,000",Panels,No,Not available,5,55,3,1,from 2.75 m,1,Closed balcony,Not available,Old Renovation
Malatia-Sebastia,"Kurghinyan lane, Yerevan","$110,000",Stone,No,Not available,5,109,3,1,from 3 m,4,Open balcony,Not available,Old Renovation
Arabkir,"Marshal Baghramyan avenue, Yerevan","$178,000",Panels,No,Available,9,83,3,3+,from 2.8 m,4,Open balcony,Available,Euro Renovation
Kentron,"Մարտիրոս Սարյանի փողոց, Երևան","$180,000",Panels,No,Available,10,70,4,1,from 2.8 m,10,Multiple balconies,Available,Major Renovation
Ajapnyak,"Abelian street, Yerevan","$115,000",Stone,No,Not available,4,68,3,1,from 2.8 m,4,Closed balcony,Available,Partial Renovation
Avan,"Tsarav Aghbyuri Street, Yerevan","$184,000",Monolith,Yes,Available,14,86,2,1,from 3.2 m,7,Open balcony,Available,Euro Renovation
Ajapnyak,"Margarian street, Yerevan","$121,000",Stone,No,Not available,5,81,3,1,from 2.8 m,3,Open balcony,Available,Euro Renovation
Ajapnyak,"Բաշինջաղյան փակուղի, Երևան","$117,000",Panels,No,Not available,14,97,3,1,from 3 m,12,Open balcony,Available,Partial Renovation
Nor Nork,"Վիլնյուսի փողոց, Նոր Նորքի 9-րդ զանգված","$110,000",Panels,No,Available,9,98,3,1,from 2.75 m,4,Multiple balconies,Not available,Partial Renovation
Arabkir,"Griboyedov street, Yerevan","$260,000",Stone,No,Not available,5,148,4,2,from 2.75 m,3,Not available,By agreement,Euro Renovation
Arabkir,"Aghbyur Serob street, Yerevan","$270,000",Stone,No,Not available,5,113,4,1,from 2.75 m,4,Open balcony,Not available,Euro Renovation
Arabkir,"Vagharsh Vagharshyan street, Yerevan","$179,000",Panels,No,Available,9,78,3,1,from 2.8 m,6,Open balcony,Available,Cosmetic Renovation
Kentron,"Mesrop Mashtots Avenue, Yerevan","$350,000",Stone,No,Not available,5,94,3,2,from 3 m,3,Open balcony,Not available,Cosmetic Renovation
Kentron,"Alek Manoukyan street, Yerevan","$225,000",Stone,No,Not available,5,78,3,1,from 3 m,2,Open balcony,Not available,Major Renovation
Kentron,"Northern Avenue, Yerevan","$850,000",Monolith,Yes,Available,10,140,3,2,from 3 m,7,Open balcony,Available,Euro Renovation
Nor Nork,"Gai avenue, Yerevan","$105,000",Panels,No,Available,9,78,3,1,from 2.8 m,6,Closed balcony,Available,Major Renovation
Ajapnyak,"Bashinjaghyan street, Yerevan","$110,000",Stone,No,Not available,5,84,3,1,from 2.75 m,5,Closed balcony,Available,Old Renovation
Arabkir,"Hrachya Kochar Street, Yerevan","$92,000",Stone,No,Not available,5,39,2,1,from 2.8 m,5,Not available,Not available,Major Renovation
Nor Nork,"Լվովյան փողոց 23/1, Երևան","$54,000",Stone,No,Not available,5,34,1,1,from 2.75 m,1,Closed balcony,Partial Furniture,Major Renovation
Kentron,Yerevan › Kentron,"$265,000",Panels,No,Available,11,85,3,1,from 2.75 m,4,Open balcony,Available,Euro Renovation
Malatia-Sebastia,"Zoravar Andranik street, Yerevan","$170,000",Panels,No,Available,14,96,3,2,from 2.75 m,10,Not available,Available,Major Renovation
Ajapnyak,"Leningradyan street, Yerevan","$117,000",Stone,No,Available,6,59,2,1,from 3.2 m,4,Not available,Available,Euro Renovation
Kentron,"Sayat Nova avenue, Yerevan","$210,000",Panels,No,Available,11,100,3,1,from 2.8 m,11,Open balcony,Not available,No Renovation
Ajapnyak,"Abelyan Street, Yerevan","$115,000",Stone,No,Not available,4,74,3,1,from 2.8 m,4,Closed balcony,Partial Furniture,Partial Renovation
Avan,"Charents block, Yerevan","$70,000",Panels,No,Not available,14,65,1,1,from 2.75 m,7,Closed balcony,Not available,Partial Renovation
Nor Nork,"Դավիթ Մալյան փողոց, Երևան","$83,000",Stone,No,Not available,5,76,3,1,from 2.75 m,4,Open balcony,Not available,Partial Renovation
Arabkir,"Mamikonyants street, Yerevan","$186,000",Monolith,Yes,Available,12,78,2,1,from 3 m,2,Not available,Available,Euro Renovation
Nor Nork,"Մառի փողոց 16, Երևան","$95,000",Panels,No,Not available,5,74,3,1,from 2.75 m,3,Closed balcony,Available,Major Renovation
Arabkir,"Komitas Ave, Yerevan","$190,000",Monolith,Yes,Available,16,56,3,2,from 3 m,15,Open balcony,Available,Designer Renovation
Arabkir,"Griboyedov street, Yerevan","$215,000",Monolith,Yes,Available,12,78,3,1,from 3 m,5,Open balcony,Available,Designer Renovation
Arabkir,"Avet Avetisyan Street, Yerevan","$143,000",Panels,No,Not available,16,91,4,1,from 2.75 m,9,Closed balcony,Available,Partial Renovation
Ajapnyak,"Նորաշեն թաղամաս, Երևան","$138,000",Monolith,Yes,Available,12,110,4,1,from 2.75 m,9,Not available,Available,Cosmetic Renovation
Nor Nork,"Aksel Bakunts street, Yerevan","$80,000",Panels,No,Not available,5,75,3,1,from 2.75 m,1,Closed balcony,Partial Furniture,Old Renovation
Kanaker-Zeytun,"Hrachya Nersisyan street, Yerevan","$52,000",Stone,No,Not available,4,27,1,1,from 2.7 m,4,Open balcony,Not available,No Renovation
Nor Nork,"Artem Mikoyan street, Yerevan","$88,000",Stone,No,Not available,5,85,3,1,from 2.75 m,5,Closed balcony,Not available,Major Renovation
Nor Nork,"Աշոտ Հովհաննիսյանի փողոց, Երևան","$75,000",Panels,No,Available,9,60,2,1,from 2.75 m,4,Closed balcony,Not available,No Renovation
Kanaker-Zeytun,"David Anhaght street, Yerevan","$85,000",Stone,Yes,Not available,5,67,2,1,from 2.7 m,5,Closed balcony,By agreement,Major Renovation
Nor Nork,"Aksel Bakunts street, Yerevan","$90,000",Panels,No,Available,14,83,3,1,from 2.7 m,1,Not available,By agreement,Major Renovation
Avan,"Avan-Arinj 1st Microdistrict, Yerevan","$79,000",Panels,No,Available,9,70,2,1,from 2.75 m,8,Closed balcony,By agreement,Major Renovation
Arabkir,"Grigor Artsrunu street 90, Yerevan","$130,000",Panels,No,Available,14,79,3,1,from 2.8 m,13,Closed balcony,By agreement,Euro Renovation
Nor Nork,"Jughayi street, Yerevan","$76,000",Panels,No,Not available,5,53,2,1,from 2.7 m,3,Closed balcony,Available,Euro Renovation
Avan,"Hovhanisyan block, Yerevan","$73,000",Panels,No,Available,9,55,2,1,from 2.75 m,3,Closed balcony,Not available,Euro Renovation
Kentron,"Yeznik Koghbatsi street, Yerevan","$121,000",Panels,No,Available,9,50,2,1,from 2.8 m,4,Closed balcony,Not available,Major Renovation
Avan,"Avan-Arinj, Երևան","$80,000",Panels,Yes,Available,9,60,1,1,from 2.6 m,2,Closed balcony,Not available,Major Renovation
Avan,"Narekatsi block, Երևան","$88,000",Panels,No,Not available,16,83,3,1,from 2.75 m,14,Closed balcony,Available,Cosmetic Renovation
Avan,"Shovroyan street, Yerevan","28,500,000 ֏",Panels,No,Available,9,65,2,1,from 2.75 m,7,Closed balcony,Not available,Euro Renovation
Kanaker-Zeytun,"Rubiniants street, Yerevan","$81,000",Panels,No,Not available,5,70,1,1,from 2.7 m,1,Closed balcony,Not available,Euro Renovation
Nor Nork,"Մոլդովական, Երևան","$82,000",Panels,No,Available,9,67,2,1,from 2.75 m,8,Closed balcony,By agreement,Euro Renovation
Avan,"Tumanyan District, Yerevan","$90,000",Panels,No,Available,9,80,3,1,from 2.7 m,4,Closed balcony,Not available,Major Renovation
Avan,"Kuchak District, Yerevan","$95,000",Panels,No,Available,9,98,4,1,from 2.75 m,4,Closed balcony,Not available,Partial Renovation
Kanaker-Zeytun,"Rubiniants street, Yerevan","$89,000",Panels,No,Not available,13,100,3,1,from 2.75 m,11,Closed balcony,Not available,Partial Renovation
Kanaker-Zeytun,"Rubiniants street, Yerevan","$78,000",Stone,No,Not available,5,72,3,1,from 2.6 m,1,Not available,Not available,Euro Renovation
Nor Nork,"Ashot Hovhannisyan Street, Yerevan","$99,000",Stone,No,Not available,5,90,4,1,from 2.75 m,2,Open balcony,By agreement,Major Renovation
Avan,"Tsarav Aghbyuri Street, Yerevan","$110,000",Monolith,Yes,Available,14,62,2,1,from 2.8 m,7,Open balcony,Not available,Euro Renovation
Kanaker-Zeytun,"Davit Anhaght Street, Yerevan","$85,000",Stone,No,Not available,5,65,2,1,from 2.7 m,4,Closed balcony,Available,Euro Renovation
Erebuni,"Այվազովսկու փողոց, Երևան","$87,000",Panels,No,Available,9,78,3,1,from 2.8 m,7,Closed balcony,Available,Cosmetic Renovation
Avan,"Իսահակյան թաղամաս 5/5, Երևան","$220,000",Stone,No,Not available,2,130,4,2,from 3.2 m,2,Open balcony,Partial Furniture,Major Renovation
Davitashen,"Տիգրան Պետրոսյանի փողոց, Երևան","$122,000",Monolith,Yes,Available,5,62,2,1,from 3 m,2,Open balcony,Available,Major Renovation
Avan,"Tsarav Aghbyuri Street 55/26, Yerevan","$125,000",Panels,Yes,Available,14,56,2,1,from 2.8 m,5,Open balcony,Available,Euro Renovation
Ajapnyak,"Ֆուչիկի փողոց 1/1, Երևան","$117,000",Monolith,Yes,Available,13,69,2,1,from 3.2 m,10,Open balcony,Not available,No Renovation
Ajapnyak,"Հալաբյան փողոց, Երևան","$97,000",Stone,No,Not available,4,39,1,1,from 2.75 m,2,Not available,Available,Designer Renovation
Shengavit,"Չեխովի փողոց, Երևան","$105,000",Monolith,Yes,Available,10,84,3,1,from 3.2 m,2,Open balcony,Not available,No Renovation
Ajapnyak,"Leningradyan St, Yerevan","$105,000",Monolith,Yes,Available,14,54,2,1,from 2.8 m,6,Open balcony,Not available,No Renovation
Nor Nork,"Moldovakan street, Yerevan","$72,000",Panels,No,Available,9,67,3,1,from 2.75 m,9,Closed balcony,Not available,No Renovation
Nork-Marash,"Garegin Hovsepyan Street, Երևան","$199,900",Stone,Yes,Available,5,114,3,2,from 2.8 m,2,Multiple balconies,Partial Furniture,Major Renovation
Malatia-Sebastia,"Admiral Isakov Avenue 50/7, Yerevan","$90,000",Panels,No,Available,9,78,3,1,from 2.75 m,6,Open balcony,Available,Euro Renovation
Kanaker-Zeytun,"Rubiniants street, Yerevan","$81,000",Panels,No,Not available,5,70,1,1,from 2.7 m,1,Closed balcony,Not available,Euro Renovation
Nor Nork,"Մոլդովական, Երևան","$82,000",Panels,No,Available,9,67,2,1,from 2.75 m,8,Closed balcony,By agreement,Euro Renovation
Avan,"Tumanyan District, Yerevan","$90,000",Panels,No,Available,9,80,3,1,from 2.7 m,4,Closed balcony,Not available,Major Renovation
Avan,"Kuchak District, Yerevan","$95,000",Panels,No,Available,9,98,4,1,from 2.75 m,4,Closed balcony,Not available,Partial Renovation
Kanaker-Zeytun,"Rubiniants street, Yerevan","$89,000",Panels,No,Not available,13,100,3,1,from 2.75 m,11,Closed balcony,Not available,Partial Renovation
Kanaker-Zeytun,"Rubiniants street, Yerevan","$78,000",Stone,No,Not available,5,72,3,1,from 2.6 m,1,Not available,Not available,Euro Renovation
Nor Nork,"Ashot Hovhannisyan Street, Yerevan","$99,000",Stone,No,Not available,5,90,4,1,from 2.75 m,2,Open balcony,By agreement,Major Renovation
Avan,"Tsarav Aghbyuri Street, Yerevan","$110,000",Monolith,Yes,Available,14,62,2,1,from 2.8 m,7,Open balcony,Not available,Euro Renovation
Kanaker-Zeytun,"Davit Anhaght Street, Yerevan","$85,000",Stone,No,Not available,5,65,2,1,from 2.7 m,4,Closed balcony,Available,Euro Renovation
Erebuni,"Այվազովսկու փողոց, Երևան","$87,000",Panels,No,Available,9,78,3,1,from 2.8 m,7,Closed balcony,Available,Cosmetic Renovation
Avan,"Իսահակյան թաղամաս 5/5, Երևան","$220,000",Stone,No,Not available,2,130,4,2,from 3.2 m,2,Open balcony,Partial Furniture,Major Renovation
